model,gpu,tp,pp,dp,max_model_len,dtype,quantization,kv_cache_dtype,weight_error_pct,activation_error_pct,non_torch_error_pct,kv_cache_error_pct
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,4096,auto,,auto,-0.42105263157895084,,,-4.220058089868441
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,8192,auto,,auto,-0.42105263157895084,,,-4.220058089868441
Qwen/Qwen2.5-7B-Instruct,H100-80GB,2,1,1,8192,auto,,auto,-0.42134831460674504,,,2.615914786967421
Qwen/Qwen2.5-7B-Instruct,H100-80GB,4,1,1,8192,auto,,auto,0.0,,,4.618354618354617
Qwen/Qwen3-30B-A3B,H100-80GB,1,1,1,8192,auto,,auto,-0.017580872011260754,,,-28.747566515249833
Qwen/Qwen3-30B-A3B,H100-80GB,4,1,1,8192,auto,,auto,-0.2105263157894692,,,5.3587324194409796
Qwen/Qwen3-8B,H100-80GB,1,1,1,8192,auto,,auto,-0.06548788474132146,,,-4.365217391304344
Qwen/Qwen3-8B,H100-80GB,4,1,1,8192,auto,,auto,-0.26178010471203633,,,4.683072334079046
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,H100-80GB,1,1,1,8192,float16,,auto,-0.3533568904593564,,,-3.1114551083591193
redhatai/Llama-3.3-70B-Instruct-quantized.w8a8,H100-80GB,1,1,1,8192,auto,,auto,-0.05906674542231548,,,-32.73453093812375
redhatai/Llama-3.3-70B-Instruct-quantized.w8a8,H100-80GB,2,1,1,8192,auto,,auto,-0.11806375442738827,,,5.042918454935609
redhatai/Llama-3.3-70B-Instruct-quantized.w8a8,H100-80GB,4,1,1,8192,auto,,auto,-0.23584905660376854,,,5.917159763313615
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,H100-80GB,1,1,1,8192,float16,,auto,-0.3533568904593564,,,-3.1114551083591193
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,H100-80GB,1,1,1,8192,float16,,auto,-0.7434944237918222,,,-2.953773445576725
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,H100-80GB,1,1,1,8192,auto,,auto,-0.16618196925633216,,,1.2107531294890281
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,H100-80GB,2,1,1,8192,auto,,auto,-0.8257638315441755,,,5.286343612334797
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,H100-80GB,1,1,1,8192,float16,,auto,-0.3533568904593564,,,-3.1114551083591193
RedHatAI/Qwen2.5-7B-Instruct-quantized.w8a8,H100-80GB,1,1,1,8192,auto,,auto,-0.3685503685503825,,,-3.8675742574257423
