model,gpu,tp,pp,dp,max_model_len,dtype,quantization,kv_cache_dtype,gpu_memory_utilization,architecture,attention_type,num_hidden_layers,num_kv_heads,head_dimension,kv_dtype_bytes,per_token_kv_bytes,per_token_kv_bytes_per_gpu,pred_weight_memory_gib,pred_activation_memory_gib,pred_non_torch_gib,pred_cuda_graph_gib,pred_total_non_kv_cache_gib,pred_kv_cache_memory_gib,pred_kv_cache_tokens,pred_max_concurrency,pred_total_weight_gib,pred_alloc_kv_total_gib
redhatai/Llama-3.3-70B-Instruct-quantized.w8a8,H100-80GB,2,1,1,8192,torch.bfloat16,compressed-tensors,auto,0.95,LlamaForCausalLM,Grouped-query attention,80,8,128,2,327680,163840.0,33.8395,4.8,0.6,0.0,39.2395,39.1605,256642,31.33,67.679,78.321
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,H100-80GB,1,1,1,8192,torch.float16,gptq_marlin,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,131072.0,5.3417,4.8,0.15,0.0,10.2917,65.7083,538282,65.71,5.3417,65.7083
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,H100-80GB,1,1,1,8192,torch.bfloat16,compressed-tensors,auto,0.95,Mistral3ForConditionalGeneration,Grouped-query attention,40,8,128,2,163840,163840.0,24.0276,2.5,0.15,0.0,26.6776,49.3224,323239,39.46,24.0276,49.3224
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,H100-80GB,2,1,1,8192,torch.bfloat16,compressed-tensors,auto,0.95,Mistral3ForConditionalGeneration,Grouped-query attention,40,8,128,2,163840,81920.0,12.0138,2.5,0.6,0.0,15.1138,62.1362,814431,99.42,24.0276,124.2724
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,H100-80GB,1,1,1,8192,torch.float16,compressed-tensors,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,131072.0,8.4601,4.8,0.15,0.0,13.4101,62.5899,512736,62.59,8.4601,62.5899
RedHatAI/Qwen2.5-7B-Instruct-quantized.w8a8,H100-80GB,1,1,1,8192,torch.bfloat16,compressed-tensors,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,28,4,128,2,57344,57344.0,8.1106,5.6,0.15,0.0,13.8606,62.1394,1163533,142.03,8.1106,62.1394
google/gemma-2-27b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,Gemma2ForCausalLM,Grouped-query attention,46,16,128,2,376832,376832.0,50.7145,5.5,0.15,0.0,56.3645,19.6355,55949,6.83,50.7145,19.6355
google/gemma-2-2b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,Gemma2ForCausalLM,Grouped-query attention,26,4,256,2,106496,106496.0,4.8696,5.5,0.15,0.0,10.5196,65.4804,660203,80.59,4.8696,65.4804
google/gemma-2-9b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,Gemma2ForCausalLM,Grouped-query attention,42,8,256,2,344064,344064.0,17.214,5.5,0.15,0.0,22.864,53.136,165824,20.24,17.214,53.136
google/gemma-3-12b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,Gemma3ForConditionalGeneration,Grouped-query attention,48,8,256,2,393216,393216.0,22.7007,5.5,0.15,0.0,28.3507,47.6493,130114,15.88,22.7007,47.6493
google/gemma-3-27b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,Gemma3ForConditionalGeneration,Grouped-query attention,62,16,128,2,507904,507904.0,51.0968,5.5,0.15,0.0,56.7468,19.2532,40702,4.97,51.0968,19.2532
google/gemma-3-4b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,Gemma3ForConditionalGeneration,Grouped-query attention,34,4,256,2,139264,139264.0,8.0095,5.5,0.15,0.0,13.6595,62.3405,480652,58.67,8.0095,62.3405
google/gemma-7b,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,GemmaForCausalLM,Multi-head attention,28,16,256,2,458752,458752.0,15.9027,5.5,0.15,0.0,21.5527,54.4473,127437,15.56,15.9027,54.4473
