log_file,status,model,gpu,tp,pp,dp,max_model_len,dtype,quantization,kv_cache_dtype,gpu_memory_utilization,init_free_memory_gib,init_total_memory_gib,init_cuda_memory_gib,init_non_torch_memory_gib,requested_memory_gib,weight_memory_gib,weights_memory_gib,activation_memory_gib,non_torch_forward_gib,total_non_kv_cache_gib,cuda_graph_estimated_gib,cuda_graph_actual_gib,kv_cache_memory_gib,kv_cache_tokens,kv_cache_blocks,max_concurrency,summary_free_gib,summary_total_gib,cudagraph_piecewise_count,cudagraph_piecewise_largest,cudagraph_full_count
google-gemma-2-9b-it--h100-80gb--tp1pp1dp1--8192.FAILED.log,failed,,H100-80GB,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,
google-gemma-2-9b-it--h100-80gb--tp1pp1dp1--8192.log,ok,google/gemma-2-9b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,17.22,17.22,3.65,0.25,21.11,0.84,1.09,54.12,168880,21110,20.6,78.68,79.19,51,512,51
google-gemma-3-12b-it--h100-80gb--tp1pp1dp1--8192.FAILED.log,failed,,H100-80GB,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,
google-gemma-3-12b-it--h100-80gb--tp1pp1dp1--8192.log,ok,google/gemma-3-12b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,23.31,23.31,3.94,0.25,27.51,1.02,0.94,47.72,130304,48867,15.88,78.68,79.19,51,512,51
google-gemma-3-27b-it--h100-80gb--tp1pp1dp1--8192.FAILED.log,failed,,H100-80GB,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,
google-gemma-3-27b-it--h100-80gb--tp1pp1dp1--8192.log,ok,google/gemma-3-27b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,51.45,51.45,3.99,0.26,55.7,1.05,1.14,19.53,36560,15997,4.46,78.68,79.19,51,512,51
google-gemma-3-4b-it--h100-80gb--tp1pp1dp1--8192.FAILED.log,failed,,H100-80GB,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,
google-gemma-3-4b-it--h100-80gb--tp1pp1dp1--8192.log,ok,google/gemma-3-4b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,8.58,8.58,3.89,0.25,12.72,0.7,0.67,62.51,468144,204817,57.05,78.68,79.19,51,512,51
google-gemma-7b--h100-80gb--tp1pp1dp1--8192.log,ok,google/gemma-7b,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,15.91,15.91,3.63,0.25,19.79,0.84,0.94,55.44,129760,8110,15.84,78.68,79.19,51,512,51
granite-3-1-2b--h100-80gb--tp1pp1dp1--8192.log,ok,ibm-granite/granite-3.1-2b-instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,4.74,4.74,0.75,0.46,5.95,1.6,0.84,69.28,908048,56753,110.85,78.68,79.19,51,512,51
